region,segment,total_sales,total_profit
West,Consumer,362880.773,57450.604
East,Consumer,350908.167,41190.984300000004
Central,Consumer,252031.434,8564.0481
West,Corporate,225855.2745,34437.4299
East,Corporate,200409.347,23622.5789
South,Consumer,195580.971,26913.572799999998
Central,Corporate,157995.8128,18703.902000000002
West,Home Office,136721.777,16530.415
East,Home Office,127463.726,26709.2168
South,Corporate,121885.9325,15215.2232
Central,Home Office,91212.644,12438.4124
South,Home Office,74255.0015,4620.6343
